id,sno,state,district,factly_nam,category,type,facility_i,iso_minus_,iso_confm_,iso_suspec,o2suported,total_icu,ventilator,o2_manifol,ppe,n95,bio_med_wa,address,result_num,status,formatted_,place_id,location_t,lat,long,row_number,layer,path,faclty_nam,date
2442,2442,Maharashtra,AMRAVATI,,DCCC,Other than Hospital,32278,50,50,0,0,0,0,0,50,150,1,,0,OK,"Congress Nagar, Shyam Nagar, Amravati, Maharashtra, India",ChIJE3j4g5Ck1jsRApAxDg1FYkw,APPROXIMATE,20.9255742,77.7770342,,,,"Home Guard Congress Nagar
Amravati",15th September 2020
2289,2289,Maharashtra,SOLAPUR,,DCCC,Other than Hospital,32526,50,35,15,0,0,0,0,200,400,1,,0,OK,"17, Alipur Rd, Jijau Nagar, Krantisingha Nagar, Barshi, Maharashtra 413401, India",ChIJUbXlbwZVxDsRLr2CUg7akI0,ROOFTOP,18.230101,75.6802899,,,,"Renuka Mangal Karyalaya, Alipur
Road, Barshi",15th September 2020
6,6,Maharashtra,RATNAGIRI,Pedhambe CCC,DCCC,Other than Hospital,27828,80,40,40,0,0,0,0,40,50,1,Pedhambe CCC RATNAGIRI Maharashtra,0,OK,"Pedhambe, Maharashtra 415603, India",ChIJoWKIJMMEwjsRU2Txrl5j_6Y,APPROXIMATE,17.4952674,73.6147475,,,,,15th September 2020
8,8,Maharashtra,PUNE,Pimpri Chinchwad College of Polytecnic (PCCOE),DCCC,Other than Hospital,27188,280,180,100,0,0,0,0,500,650,1,Pimpri Chinchwad College of Polytecnic (PCCOE) PUNE Maharashtra,0,OK,"Near, Akurdi Railway Station Road, Nigadi Rd, Sector No. 26, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044, India",ChIJBaKPbOe5wjsR_TRXkTEBIRs,GEOMETRIC_CENTER,18.6517288,73.7616398,,,,,15th September 2020
18,18,Maharashtra,THANE,"Hotel Capitol, Majiwada",DCCC,Other than Hospital,27665,50,50,0,0,0,0,0,1000,1500,1,"Hotel Capitol, Majiwada THANE Maharashtra",0,OK,"G.B. Road, Junction, Subhash Nagar, Majiwada, Thane, Maharashtra 400601, India",ChIJ86SfIES55zsRYgzIUlgFN7w,GEOMETRIC_CENTER,19.215306,72.9774634,,,,,15th September 2020
21,21,Maharashtra,SINDHUDURG,ITI Dodamarg,DCCC,Other than Hospital,27323,50,20,30,0,0,0,0,5,10,1,ITI Dodamarg SINDHUDURG Maharashtra,0,OK,"SH130, Kasai, Maharashtra 416512, India",ChIJq6qqqh6RvzsR2iZy59JxINE,GEOMETRIC_CENTER,15.6834088,73.9743332,,,,,15th September 2020
25,25,Maharashtra,SOLAPUR,"BHRAHMADEV DADA MANE, INSTITUTE OF TECHNOLOGY",DCCC,Other than Hospital,27208,180,144,36,0,0,0,0,500,1000,1,"BHRAHMADEV DADA MANE, INSTITUTE OF TECHNOLOGY SOLAPUR Maharashtra",0,OK,"Solapur, South Sadar Bazar, Jawaharlal Housing Society, Keshav Nagra, Solapur, Maharashtra 413007, India",ChIJLyiuq9XTxTsR7DuzTQ8iA0k,GEOMETRIC_CENTER,17.6599188,75.9063906,,,,,15th September 2020
26,26,Maharashtra,MUMBAI,"KORBA MITHAGAR
 MUNICIPAL SCHOOL- WADALA",DCCC,Other than Hospital,27302,100,100,0,0,0,0,0,100,100,1,"KORBA MITHAGAR
 MUNICIPAL SCHOOL- WADALA MUMBAI Maharashtra",0,OK,"Lal Bahadur Shastri Nagar, Wadala, Mumbai, Maharashtra 400037, India",ChIJqXddWj3P5zsRSFNorgpQwok,GEOMETRIC_CENTER,19.0153347,72.8641978,,,,,15th September 2020
28,28,Maharashtra,SOLAPUR,"VIDYA VIKAS
 PRATISHTHAN POLYTECHNIC,
 SOREGAON",DCCC,Other than Hospital,27207,150,70,80,0,0,0,0,300,500,1,"VIDYA VIKAS
 PRATISHTHAN POLYTECHNIC,
 SOREGAON SOLAPUR Maharashtra",0,OK,"Gat No. 72/2B, Dongaon Rd, Soregaon, Solapur, Maharashtra 413008, India",ChIJV1VVVaHQxTsRce0OR56OzIY,GEOMETRIC_CENTER,17.6022206,75.8777971,,,,,15th September 2020
2064,2064,Maharashtra,PALGHAR,st george college Vasai Gramin,DCCC,Other than Hospital,28543,100,50,50,0,0,0,0,10,50,1,st george college Vasai Gramin PALGHAR Maharashtra,0,OK,"Vasai-Virar, Maharashtra, India",ChIJe1jBa5Wu5zsRRVGqS6lTT4Y,APPROXIMATE,19.3919275,72.8397317,,,,,15th September 2020
