dist_code2,distname,taluka_cod,taluka_nam,po,atc,dist_code
"501",Akola,3991,Akola,akola,amravati,"467"
"501",Akola,3989,Akot,akola,amravati,"467"
"501",Akola,3990,Balapur,akola,amravati,"467"
"501",Akola,3994,Barshitakli,akola,amravati,"467"
"501",Akola,3992,Murtijapur,akola,amravati,"467"
"501",Akola,3993,Patur,akola,amravati,"467"
"501",Akola,3988,Telhara,akola,amravati,"467"
"503",Amravati,4004,Achalpur,dharni,amravati,"468"
"503",Amravati,4009,Amravati,dharni,amravati,"468"
"503",Amravati,4003,Anjangaon Surji,dharni,amravati,"468"
"503",Amravati,4010,Bhatkuli,dharni,amravati,"468"
"503",Amravati,4005,Chandur Bazar,dharni,amravati,"468"
"507",Gondia,4047,Amgaon,deori,nagpur,"476"
"503",Amravati,4013,Chandur Railway,dharni,amravati,"468"
"503",Amravati,4002,Chikhaldara,dharni,amravati,"468"
"503",Amravati,4011,Daryapur,dharni,amravati,"468"
"503",Amravati,4014,Dhamangaon Railway,dharni,amravati,"468"
"503",Amravati,4001,Dharni,dharni,amravati,"468"
"503",Amravati,4006,Morshi,dharni,amravati,"468"
"503",Amravati,4012,Nandgaon Khandeshwar,dharni,amravati,"468"
"503",Amravati,4008,Teosa,dharni,amravati,"468"
"503",Amravati,4007,Warud,dharni,amravati,"468"
"515",Aurangabad,4136,Fulambari,aurangabad,amravati,"469"
"515",Aurangabad,4140,Gangapur,aurangabad,amravati,"469"
"515",Aurangabad,4133,Kannad,aurangabad,amravati,"469"
"515",Aurangabad,4138,Khuldabad,aurangabad,amravati,"469"
"515",Aurangabad,4141,Paithan,aurangabad,amravati,"469"
"515",Aurangabad,4139,Part of Vaijapur,aurangabad,amravati,"469"
"515",Aurangabad,4135,Sillod,aurangabad,amravati,"469"
"515",Aurangabad,4134,Soegaon,aurangabad,amravati,"469"
"523",Beed,4225,Ambejogai,aurangabad,amravati,"470"
"523",Beed,4215,Ashti,aurangabad,amravati,"470"
"523",Beed,4221,Beed,aurangabad,amravati,"470"
"523",Beed,4223,Dharur,aurangabad,amravati,"470"
"523",Beed,4218,Georai,aurangabad,amravati,"470"
"523",Beed,4222,Kaij,aurangabad,amravati,"470"
"523",Beed,4219,Majalgaon,aurangabad,amravati,"470"
"523",Beed,4224,Parli,aurangabad,amravati,"470"
"523",Beed,4216,Patoda,aurangabad,amravati,"470"
"523",Beed,4217,Shirur-Kasar,aurangabad,amravati,"470"
"523",Beed,4220,Wadwani,aurangabad,amravati,"470"
"506",Bhandara,4039,Bhandara,bhandara,nagpur,"471"
"506",Bhandara,4043,Lakhandur,bhandara,nagpur,"471"
"506",Bhandara,4041,Lakhni,bhandara,nagpur,"471"
"506",Bhandara,4038,Mohadi,bhandara,nagpur,"471"
"506",Bhandara,4042,Pauni,bhandara,nagpur,"471"
"506",Bhandara,4040,Sakoli,bhandara,nagpur,"471"
"506",Bhandara,4037,Tumsar,bhandara,nagpur,"471"
"500",Buldhana,3984,Buldana,akola,amravati,"472"
"500",Buldhana,3983,Chikli,akola,amravati,"472"
"500",Buldhana,3985,Deulgaon-Raja,akola,amravati,"472"
"500",Buldhana,3975,Jalgaon-Jamod,akola,amravati,"472"
"500",Buldhana,3981,Khamgaon,akola,amravati,"472"
"500",Buldhana,3987,Lonar,akola,amravati,"472"
"500",Buldhana,3979,Malkapur,akola,amravati,"472"
"500",Buldhana,3982,Mehkar,akola,amravati,"472"
"500",Buldhana,3980,Motala,akola,amravati,"472"
"500",Buldhana,3978,Nandura,akola,amravati,"472"
"500",Buldhana,3976,Sangrampur,akola,amravati,"472"
"500",Buldhana,3977,Shegaon,akola,amravati,"472"
"500",Buldhana,3986,Sindkhed-Raja,akola,amravati,"472"
"509",Chandrapur,4074,Ballarpur,chandrapur,nagpur,"473"
"515",Aurangabad,4137,Aurangabad,aurangabad,amravati,"469"
"509",Chandrapur,4070,Bhadravati,chimur,nagpur,"473"
"509",Chandrapur,4067,Bramhapuri,chimur,nagpur,"473"
"509",Chandrapur,4071,Chandrapur,chandrapur,nagpur,"473"
"509",Chandrapur,4065,Chimur,chimur,nagpur,"473"
"509",Chandrapur,4078,Gondpipri,chandrapur,nagpur,"473"
"509",Chandrapur,4076,Jiwati,chandrapur,nagpur,"473"
"509",Chandrapur,4075,Korpana,chandrapur,nagpur,"473"
"509",Chandrapur,4072,Mul,chandrapur,nagpur,"473"
"509",Chandrapur,4066,Nagbhir,chimur,nagpur,"473"
"509",Chandrapur,4073,Pomburna,chandrapur,nagpur,"473"
"509",Chandrapur,4077,Rajura,chandrapur,nagpur,"473"
"509",Chandrapur,4068,Saoli,chandrapur,nagpur,"473"
"509",Chandrapur,4069,Sindewahi,chandrapur,nagpur,"473"
"509",Chandrapur,4064,Warora,chimur,nagpur,"473"
"498",Dhule,3959,Dhule,dhule,nashik,"474"
"498",Dhule,3958,Sakri,dhule,nashik,"474"
"498",Dhule,3956,Shirpur,dhule,nashik,"474"
"498",Dhule,3957,Sindkheda,dhule,nashik,"474"
"508",Gadchiroli,4062,Aheri,aheri,nagpur,"475"
"508",Gadchiroli,4053,Armori,gadchiroli,nagpur,"475"
"508",Gadchiroli,4061,Bhamaragad,bhamragad,nagpur,"475"
"508",Gadchiroli,4058,Chamorshi,gadchiroli,nagpur,"475"
"508",Gadchiroli,4052,Desaiganj,gadchiroli,nagpur,"475"
"508",Gadchiroli,4056,Dhanora,gadchiroli,nagpur,"475"
"508",Gadchiroli,4060,Etapalli,bhamragad,nagpur,"475"
"508",Gadchiroli,4057,Gadchiroli,gadchiroli,nagpur,"475"
"508",Gadchiroli,4055,Korchi,gadchiroli,nagpur,"475"
"508",Gadchiroli,4054,Kurkheda,gadchiroli,nagpur,"475"
"508",Gadchiroli,4063,Sironcha,aheri,nagpur,"475"
"507",Gondia,4050,Arjuni Morgaon,deori,nagpur,"476"
"507",Gondia,4051,Deori,deori,nagpur,"476"
"507",Gondia,4046,Gondia,deori,nagpur,"476"
"507",Gondia,4045,Goregaon,deori,nagpur,"476"
"507",Gondia,4049,Sadak-Arjuni,deori,nagpur,"476"
"507",Gondia,4048,Salekasa,deori,nagpur,"476"
"507",Gondia,4044,Tirora,deori,nagpur,"476"
"512",Hingoli,4113,Aundha,kalamnuri,amravati,"477"
"512",Hingoli,4115,Basmath,kalamnuri,amravati,"477"
"512",Hingoli,4112,Hingoli,kalamnuri,amravati,"477"
"512",Hingoli,4114,Kalmnuri,kalamnuri,amravati,"477"
"512",Hingoli,4111,Sengaon,kalamnuri,amravati,"477"
"499",Jalgaon,3969,Amalner,yawal,nashik,"478"
"499",Jalgaon,3971,Bhadgaon,yawal,nashik,"478"
"499",Jalgaon,3965,Bhusawal,yawal,nashik,"478"
"499",Jalgaon,3964,Bodwad,yawal,nashik,"478"
"499",Jalgaon,3972,Chalisgaon,yawal,nashik,"478"
"499",Jalgaon,3960,Chopda,yawal,nashik,"478"
"499",Jalgaon,3968,Dharangaon,yawal,nashik,"478"
"499",Jalgaon,3963,Edlabad,yawal,nashik,"478"
"499",Jalgaon,3967,Erandol,yawal,nashik,"478"
"499",Jalgaon,3966,Jalgaon,yawal,nashik,"478"
"499",Jalgaon,3974,Jamner,yawal,nashik,"478"
"499",Jalgaon,3973,Pachora,yawal,nashik,"478"
"499",Jalgaon,3970,Parola,yawal,nashik,"478"
"499",Jalgaon,3962,Raver,yawal,nashik,"478"
"499",Jalgaon,3961,Yawal,yawal,nashik,"478"
"514",Jalna,4129,Ambad,aurangabad,amravati,"479"
"514",Jalna,4128,Badnapur,aurangabad,amravati,"479"
"514",Jalna,4125,Bhokardan,aurangabad,amravati,"479"
"514",Jalna,4130,Ghansavangi,aurangabad,amravati,"479"
"514",Jalna,4126,Jafrabad,aurangabad,amravati,"479"
"514",Jalna,4127,Jalna,aurangabad,amravati,"479"
"514",Jalna,4132,Mantha,aurangabad,amravati,"479"
"514",Jalna,4131,Partur,aurangabad,amravati,"479"
"530",Kolhapur,4292,Ajra,ghodegaon,thane,"480"
"530",Kolhapur,4291,Bhudargad,ghodegaon,thane,"480"
